X,Y,highway,name,bus,public_transport,ref,network,check_date,description,gtfs_agency_id,gtfs_agency_name,gtfs_agency_url,gtfs_description,gtfs_id,gtfs_location_type,gtfs_stop_code,license,wheelchair,shelter,gtfs_parent_station,bench,tactile_paving,route_ref
-105.108253,40.0147991,bus_stop,10300 Block Arapahoe Rd,yes,platform,23015,Regional Transportation District,2017/3/4,Vehicles Travelling West,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling West,23015,0,23015,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.108157,40.0146691,bus_stop,10300 Block Arapahoe Rd,yes,platform,23028,Regional Transportation District,2017/3/4,Vehicles Travelling East,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling East,23028,0,23028,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.282956,40.0173371,bus_stop,11th St & Spruce St,yes,platform,25132,Regional Transportation District,2017/3/4,Vehicles Travelling West,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling West,25132,0,25132,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.275072,40.0070871,bus_stop,14th St & College Ave,yes,platform,33136,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,33136,0,33136,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.1025393,40.1636184,bus_stop,15151,,,,,,,,,,,,,,,,,,,,
-105.275215,40.0160721,bus_stop,15th St & Canyon Blvd,yes,platform,10252,Regional Transportation District,2017/3/4,Vehicles Travelling Southeast,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Southeast,10252,0,10252,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272381,40.0056631,bus_stop,16th St & Broadway,yes,platform,33138,Regional Transportation District,2017/3/4,Vehicles Travelling East,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling East,33138,0,33138,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272863,40.0173961,bus_stop,17th St & Canyon Blvd,yes,platform,23415,Regional Transportation District,2017/3/4,Vehicles Travelling Southeast,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Southeast,23415,0,23415,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253557,40.0187901,bus_stop,1800 Block 30th St,yes,platform,33620,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,33620,0,33620,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.269676,40.0047681,bus_stop,18th St & Broadway,yes,platform,34165,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,34165,0,34165,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.269644,40.0068591,bus_stop,18th St & Euclid Ave,yes,platform,25127,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,25127,0,25127,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272643,40.0561641,bus_stop,19th St & Avocado Rd,yes,platform,10365,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10365,0,10365,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272821,40.0554991,bus_stop,19th St & Avocado Rd,yes,platform,10366,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10366,0,10366,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272534,40.0278951,bus_stop,19th St & Cedar Ave,yes,platform,10367,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10367,0,10367,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272721,40.0301851,bus_stop,19th St & Elder Ave,yes,platform,10368,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10368,0,10368,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.27257,40.0300531,bus_stop,19th St & Elder Ave,yes,platform,10369,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10369,0,10369,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272579,40.0318121,bus_stop,19th St & Floral Dr,yes,platform,10372,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10372,0,10372,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272726,40.0323021,bus_stop,19th St & Forest Ave,yes,platform,10374,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10374,0,10374,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272603,40.0333851,bus_stop,19th St & Glenwood Dr,yes,platform,10375,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10375,0,10375,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2728044,40.0371182,bus_stop,19th St & Iris Ave,yes,platform,19312,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,19312,0,19312,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272623,40.0358641,bus_stop,19th St & Iris Ave,yes,platform,26097,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,26097,0,26097,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272633,40.0374371,bus_stop,19th St & Joslin Ct,yes,platform,10379,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10379,0,10379,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272678,40.0403191,bus_stop,19th St & Kalmia Ave,yes,platform,10381,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10381,0,10381,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.27284,40.0413341,bus_stop,19th St & Kalmia Ave,yes,platform,33174,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,33174,0,33174,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272662,40.0439601,bus_stop,19th St & Norwood Ave,yes,platform,10384,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10384,0,10384,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272825,40.0437721,bus_stop,19th St & Norwood Ave,yes,platform,10385,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10385,0,10385,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272831,40.0467691,bus_stop,19th St & Poplar Ave,yes,platform,10387,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10387,0,10387,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272685,40.0470391,bus_stop,19th St & Poplar Ave,yes,platform,10388,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10388,0,10388,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.27285,40.0485731,bus_stop,19th St & Redwood Ave,yes,platform,10390,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10390,0,10390,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272684,40.0503731,bus_stop,19th St & Riverside Ave,yes,platform,10389,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10389,0,10389,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272695,40.0261551,bus_stop,19th St & Tyler Rd,yes,platform,10363,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10363,0,10363,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,no,,
-105.27283,40.0525431,bus_stop,19th St & Upland Ave,yes,platform,10391,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10391,0,10391,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
